OrderId [number],Type [string],Chips [bool],Drink [bool],Value [€], Timestamp [s]
1081 , veggy , 0 , 1 , 7.500000 , 34022.051100
1082 , chicken , 0 , 1 , 8.500000 , 34182.766610
1082 , veggy , 0 , 1 , 7.500000 , 34182.766610
1082 , meat , 1 , 1 , 12.500000 , 34182.766610
1083 , veggy , 1 , 1 , 10.500000 , 34476.317037
1083 , chicken , 1 , 1 , 11.500000 , 34476.317037
1083 , meat , 1 , 1 , 12.500000 , 34476.317037
1083 , chicken , 1 , 1 , 11.500000 , 34476.317037
1083 , veggy , 1 , 1 , 10.500000 , 34476.317037
1084 , chicken , 0 , 1 , 8.500000 , 34855.183914
1084 , veggy , 0 , 1 , 7.500000 , 34855.183914
1084 , chicken , 1 , 1 , 11.500000 , 34855.183914
1084 , chicken , 1 , 1 , 11.500000 , 34855.183914
1084 , meat , 1 , 1 , 12.500000 , 34855.183914
1085 , chicken , 1 , 1 , 11.500000 , 35093.971289
1085 , meat , 1 , 1 , 12.500000 , 35093.971289
1085 , veggy , 1 , 1 , 10.500000 , 35093.971289
1085 , chicken , 0 , 1 , 8.500000 , 35093.971289
1086 , veggy , 1 , 1 , 10.500000 , 35183.720439
1087 , chicken , 1 , 1 , 11.500000 , 36220.962896
1088 , meat , 0 , 1 , 9.500000 , 36319.520854
1088 , chicken , 0 , 1 , 8.500000 , 36319.520854
1089 , meat , 1 , 1 , 12.500000 , 36389.486117
1089 , chicken , 1 , 1 , 11.500000 , 36389.486117
1089 , veggy , 1 , 1 , 10.500000 , 36389.486117
1089 , chicken , 0 , 1 , 8.500000 , 36389.486117
1090 , meat , 1 , 1 , 12.500000 , 36879.184652
1090 , chicken , 1 , 1 , 11.500000 , 36879.184652
1090 , veggy , 1 , 1 , 10.500000 , 36879.184652
1090 , veggy , 0 , 1 , 7.500000 , 36879.184652
1091 , meat , 1 , 1 , 12.500000 , 37023.444024
1091 , veggy , 1 , 1 , 10.500000 , 37023.444024
1091 , chicken , 1 , 1 , 11.500000 , 37023.444024
1092 , meat , 1 , 0 , 10.000000 , 37127.561499
1092 , meat , 1 , 1 , 12.500000 , 37127.561499
1092 , chicken , 1 , 1 , 11.500000 , 37127.561499
1092 , veggy , 1 , 1 , 10.500000 , 37127.561499
1092 , veggy , 1 , 1 , 10.500000 , 37127.561499
1093 , chicken , 1 , 1 , 11.500000 , 37344.334762
1093 , veggy , 1 , 1 , 10.500000 , 37344.334762
1093 , veggy , 1 , 1 , 10.500000 , 37344.334762
1094 , meat , 1 , 1 , 12.500000 , 37678.417109
1094 , veggy , 0 , 1 , 7.500000 , 37678.417109
1094 , veggy , 1 , 1 , 10.500000 , 37678.417109
1095 , meat , 0 , 1 , 9.500000 , 37709.449817
1096 , chicken , 1 , 1 , 11.500000 , 37780.254125
1096 , chicken , 1 , 1 , 11.500000 , 37780.254125
1097 , veggy , 1 , 1 , 10.500000 , 37869.763895
1097 , chicken , 1 , 0 , 9.000000 , 37869.763895
1097 , meat , 1 , 1 , 12.500000 , 37869.763895
1098 , veggy , 1 , 1 , 10.500000 , 38086.136662
1099 , veggy , 0 , 1 , 7.500000 , 38207.435166
1099 , chicken , 1 , 1 , 11.500000 , 38207.435166
1100 , veggy , 1 , 1 , 10.500000 , 38894.894671
1100 , chicken , 1 , 1 , 11.500000 , 38894.894671
1100 , meat , 1 , 1 , 12.500000 , 38894.894671
1100 , meat , 1 , 1 , 12.500000 , 38894.894671
1101 , veggy , 1 , 1 , 10.500000 , 38961.324750
1101 , veggy , 1 , 1 , 10.500000 , 38961.324750
1102 , chicken , 1 , 1 , 11.500000 , 39757.265865
1102 , chicken , 1 , 1 , 11.500000 , 39757.265865
1102 , meat , 1 , 1 , 12.500000 , 39757.265865
1103 , veggy , 1 , 1 , 10.500000 , 39911.591222
1103 , chicken , 1 , 1 , 11.500000 , 39911.591222
1104 , veggy , 0 , 1 , 7.500000 , 39962.663409
1104 , meat , 1 , 1 , 12.500000 , 39962.663409
1104 , veggy , 1 , 1 , 10.500000 , 39962.663409
1104 , chicken , 1 , 1 , 11.500000 , 39962.663409
1105 , chicken , 0 , 0 , 6.000000 , 39985.140614
1106 , veggy , 0 , 1 , 7.500000 , 40315.463421
1106 , meat , 0 , 1 , 9.500000 , 40315.463421
1106 , veggy , 1 , 1 , 10.500000 , 40315.463421
1106 , meat , 0 , 0 , 7.000000 , 40315.463421
1107 , chicken , 1 , 1 , 11.500000 , 40393.418208
1107 , veggy , 1 , 1 , 10.500000 , 40393.418208
1107 , chicken , 1 , 1 , 11.500000 , 40393.418208
1108 , veggy , 1 , 1 , 10.500000 , 40477.348454
1108 , chicken , 1 , 1 , 11.500000 , 40477.348454
1108 , meat , 1 , 1 , 12.500000 , 40477.348454
1108 , veggy , 1 , 0 , 8.000000 , 40477.348454
1108 , chicken , 1 , 1 , 11.500000 , 40477.348454
1109 , meat , 0 , 1 , 9.500000 , 40532.083806
1109 , meat , 1 , 1 , 12.500000 , 40532.083806
1110 , veggy , 1 , 1 , 10.500000 , 40569.784211
1110 , meat , 1 , 1 , 12.500000 , 40569.784211
1110 , veggy , 1 , 1 , 10.500000 , 40569.784211
1110 , veggy , 1 , 1 , 10.500000 , 40569.784211
1111 , meat , 1 , 0 , 10.000000 , 40630.644311
1111 , meat , 1 , 1 , 12.500000 , 40630.644311
1112 , chicken , 1 , 1 , 11.500000 , 40706.023336
1112 , meat , 0 , 0 , 7.000000 , 40706.023336
1112 , veggy , 1 , 1 , 10.500000 , 40706.023336
